Geneid,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1 ,Control_Sample2 ,Control_Sample3
ENSMUSG00000042772,986,916,946,578,405,653
ENSMUSG00000100394,29,0,30,40,0,0
ENSMUSG00000103840,0,0,0,0,0,0
ENSMUSG00000087236,0,0,0,0,0,0
ENSMUSG00000100702,0,0,0,0,0,0
ENSMUSG00000026042,0,0,0,0,0,0
ENSMUSG00000104476,29,0,0,0,0,0
ENSMUSG00000073643,297,305,238,82,303,239
ENSMUSG00000104497,0,0,0,0,0,0
ENSMUSG00000025916,0,0,0,0,0,0
ENSMUSG00000087199,0,0,0,0,0,0
ENSMUSG00000026248,0,16,58,0,0,19
ENSMUSG00000119658,0,0,0,0,0,0
ENSMUSG00000026249,44,0,0,4,0,0
ENSMUSG00000042751,0,0,0,0,0,0
ENSMUSG00000067106,0,1,7,0,1,1
ENSMUSG00000099969,0,0,0,0,0,0
ENSMUSG00000100397,0,0,0,0,0,1
ENSMUSG00000099753,0,0,0,0,0,0
ENSMUSG00000118883,0,0,0,0,0,0
ENSMUSG00000102518,0,0,0,0,15,0
ENSMUSG00000099552,0,0,0,0,0,0
ENSMUSG00000043230,0,0,0,0,0,0
ENSMUSG00000103404,0,0,0,0,0,0
ENSMUSG00000026491,771,529,476,589,521,756
ENSMUSG00000073486,0,0,0,0,0,0
ENSMUSG00000025917,218,85,171,90,153,139
ENSMUSG00000104418,0,0,0,22,0,1
ENSMUSG00000026479,0,0,25,0,0,15
ENSMUSG00000004364,908,568,901,490,788,709
ENSMUSG00000103076,52,58,71,97,73,0
ENSMUSG00000103525,0,2,17,0,37,0
ENSMUSG00000101722,0,0,0,0,0,0
ENSMUSG00000090637,0,0,0,0,0,0
ENSMUSG00000026478,546,508,477,334,390,548
ENSMUSG00000110100,0,0,0,0,0,0
ENSMUSG00000103818,0,0,0,29,0,0
ENSMUSG00000079138,26,0,25,22,0,0
ENSMUSG00000042708,0,0,0,9,27,15
ENSMUSG00000064435,0,0,0,0,0,0
ENSMUSG00000103543,0,0,0,0,0,0
ENSMUSG00000099432,0,0,0,0,0,0
ENSMUSG00000041144,0,0,0,0,0,0
ENSMUSG00000119743,0,0,0,0,0,0
ENSMUSG00000042699,1317,1013,1075,955,916,841
ENSMUSG00000101262,0,0,0,0,0,0
ENSMUSG00000042684,5,32,44,0,63,0
ENSMUSG00000099858,29,0,1,0,1,3
ENSMUSG00000101337,0,0,1,0,0,9
ENSMUSG00000025986,571,573,572,341,188,258
ENSMUSG00000100213,0,27,0,1,8,18
ENSMUSG00000103129,0,0,0,0,0,0
ENSMUSG00000100160,0,0,0,0,0,0
ENSMUSG00000101921,0,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,1
ENSMUSG00000081185,0,0,0,0,0,0
ENSMUSG00000103246,0,0,0,0,0,0
ENSMUSG00000098876,0,0,0,0,0,0
ENSMUSG00000100530,0,0,0,0,0,0
ENSMUSG00000104067,0,0,0,0,0,0
ENSMUSG00000100033,0,0,0,0,0,25
ENSMUSG00002075213,0,0,0,0,0,0
ENSMUSG00002076633,0,0,0,0,0,0
ENSMUSG00000101996,0,0,0,0,0,0
ENSMUSG00000096973,0,0,0,0,0,0
ENSMUSG00000064943,0,0,0,0,0,0
ENSMUSG00000100866,0,0,0,0,0,0
ENSMUSG00000101721,0,0,0,0,0,0
ENSMUSG00000099376,0,0,0,0,0,0
ENSMUSG00000097883,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0
ENSMUSG00000099698,0,0,0,0,0,0
ENSMUSG00000056763,500,256,355,307,209,210
ENSMUSG00000099454,0,0,0,0,0,0
ENSMUSG00000051616,0,0,0,0,0,0
ENSMUSG00000099627,0,0,0,0,0,0
ENSMUSG00000099577,0,0,0,0,0,0
ENSMUSG00000099882,0,0,0,0,0,0
ENSMUSG00000101760,0,0,0,0,0,0
ENSMUSG00000102356,0,0,18,0,0,0
ENSMUSG00000099608,0,0,0,0,0,0
ENSMUSG00000099864,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0
ENSMUSG00000100451,0,0,0,0,0,0
ENSMUSG00000099941,0,0,0,0,0,0
ENSMUSG00002075589,0,0,0,0,0,0
ENSMUSG00000100816,0,0,0,0,0,0
ENSMUSG00000042671,0,0,0,1,0,0
ENSMUSG00000100945,0,0,0,0,0,0
ENSMUSG00000102404,0,0,0,0,0,0
ENSMUSG00000100334,0,0,0,0,0,0
ENSMUSG00000026109,0,0,0,0,0,0
ENSMUSG00000026475,23,24,32,11,33,1
ENSMUSG00000099568,0,0,0,11,0,1
ENSMUSG00000100671,0,0,0,0,0,0
ENSMUSG00002075527,0,0,0,0,0,0
ENSMUSG00000101242,0,0,0,0,0,0
ENSMUSG00000099924,0,0,0,0,0,0
ENSMUSG00000099625,0,0,0,0,0,0
ENSMUSG00000101799,0,0,0,0,0,0
ENSMUSG00000045954,0,0,0,0,0,0
ENSMUSG00000099741,0,0,0,0,0,0
ENSMUSG00000101702,0,0,0,0,0,0
ENSMUSG00000066800,122,225,108,223,114,114
ENSMUSG00000100183,0,0,1,1,0,0
ENSMUSG00000067851,1568,1197,1232,1153,1078,1158
ENSMUSG00002076532,0,0,0,0,0,0
ENSMUSG00000102556,0,54,0,16,0,0
ENSMUSG00000038608,4009,3545,4811,1979,2181,2307
