"","Comparison","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSMUSG00000028599","S2_vs_S1",2720.35413512304,0.738214289659778,0.148082831017634,4.98514435864526,6.19155674815696e-07,0.00185675321274602,"Tnfrsf1b","UP"
"ENSMUSG00000050812","S2_vs_S1",1634.46395881436,-0.571181985656111,0.151605905129941,-3.76754444470057,0.000164861196509352,0.0268943565238924,"Ecpas","NO"
"ENSMUSG00000029075","S2_vs_S1",35.549849451035,8.12563710735347,2.05927896823245,3.94586514634682,7.95123575162217e-05,0.0159480933477209,"Tnfrsf4","UP"
"ENSMUSG00000046667","S2_vs_S1",54.8864084444831,-7.13691211548206,1.70874717309935,-4.17669285886045,2.95777974502315e-05,0.0106564793554418,"Rbm12b1","DOWN"
"ENSMUSG00000038859","S2_vs_S1",104.681300348683,-2.57504918014024,0.632754167757258,-4.06958865125658,4.70962167808984e-05,0.0127740798870845,"Baiap2l1","DOWN"
"ENSMUSG00000029299","S2_vs_S1",29.428655263125,8.47070398817802,2.25140366221357,3.76241014898664,0.000168283774462085,0.0270914734282054,"Abcg3","UP"
"ENSMUSG00000029438","S2_vs_S1",49.451071913039,-5.29420777212672,1.37591747100462,-3.84776549734569,0.00011920006841321,0.0220971641975095,"Bcl7a","DOWN"
"ENSMUSG00000104940","S2_vs_S1",28.9990586978143,-7.84237102824167,2.21242112320871,-3.54470084649515,0.000393058916507154,0.0417697473692415,NA,"DOWN"
"ENSMUSG00000029267","S2_vs_S1",366.513495745825,-1.10409917473705,0.299232969465332,-3.68976445580128,0.000224461783614762,0.0323092932061955,"Mtf2","DOWN"
"ENSMUSG00000041147","S2_vs_S1",326.716206498573,-1.25449562030656,0.312410467980431,-4.01553644606154,5.93107318854455e-05,0.0139551308580466,"Brca2","DOWN"
"ENSMUSG00000029674","S2_vs_S1",104.83498187426,2.43529491332869,0.620509616898715,3.92466908973982,8.68490387701484e-05,0.0168666347516312,"Limk1","UP"
"ENSMUSG00000016833","S2_vs_S1",59.5068990626252,5.1535310015654,1.25515576093747,4.10588961302798,4.02761796856808e-05,0.0125861897246879,"Mrps18c","UP"
"ENSMUSG00000097180","S2_vs_S1",51.3832331079441,-5.68465722393058,1.39942534955534,-4.0621368090387,4.86255644287707e-05,0.0127740798870845,"2700038G22Rik","DOWN"
"ENSMUSG00000037411","S2_vs_S1",31.0361124549508,-7.70496451347011,2.20471397684396,-3.49476829847096,0.000474473460014405,0.04644146226621,"Serpine1","DOWN"
"ENSMUSG00000045466","S2_vs_S1",33.1943187449012,-8.82136482462812,2.11895408277149,-4.16307502666135,3.13990138449861e-05,0.0106713037331501,"Zfp956","DOWN"
"ENSMUSG00000038648","S2_vs_S1",244.59372963413,1.75174458937458,0.483763043284483,3.6210798110604,0.000293375986579048,0.0366270938346394,"Creb3l2","UP"
"ENSMUSG00000106737","S2_vs_S1",43.925449332845,-8.3262880307221,1.91704036628106,-4.34330344690372,1.40356053780935e-05,0.00705989801966349,NA,"DOWN"
"ENSMUSG00000071337","S2_vs_S1",364.171199629025,-1.46418140640565,0.320632441722468,-4.56654167164097,4.95836504288906e-06,0.00418135225324011,"Tia1","DOWN"
"ENSMUSG00000038252","S2_vs_S1",432.394325346476,-1.1070005948332,0.305941778538167,-3.6183374500946,0.000296501634665174,0.0366434090922061,"Ncapd2","DOWN"
"ENSMUSG00000001741","S2_vs_S1",34.0627275766608,8.77907250161195,2.1020574710691,4.17641887647675,2.96134285316731e-05,0.0106564793554418,"Il16","UP"
"ENSMUSG00000108521","S2_vs_S1",33.816903693937,-8.49651609391089,2.07184775966825,-4.10093649702881,4.11481478534955e-05,0.0125861897246879,NA,"DOWN"
"ENSMUSG00000109317","S2_vs_S1",32.3388117932917,8.30542329555776,2.28677588741573,3.6319358365037,0.000281303073382951,0.0356623985322017,NA,"UP"
"ENSMUSG00000052707","S2_vs_S1",1363.62888480634,-0.714434342464295,0.178642359562852,-3.99924376397937,6.35452045768065e-05,0.0143976958888375,"Tnrc6a","DOWN"
"ENSMUSG00000109362","S2_vs_S1",30.1358056898769,7.91788077951602,2.21740477069407,3.57078729339869,0.000355909840306965,0.0399500632674837,NA,"UP"
"ENSMUSG00000063229","S2_vs_S1",1848.47335105232,0.63450514334752,0.172999957438083,3.66766069046352,0.000244779717068978,0.0343637490891216,"Ldha","UP"
"ENSMUSG00000050708","S2_vs_S1",2269.34694483398,0.796053488256514,0.196427230020522,4.05266361579984,5.06377863538125e-05,0.0127740798870845,"Ftl1","UP"
"ENSMUSG00000030579","S2_vs_S1",1327.88640725981,0.627023514900113,0.171963221677643,3.64626522335987,0.000266079352616759,0.0356623985322017,"Tyrobp","UP"
"ENSMUSG00000019791","S2_vs_S1",67.5245909735089,-4.28107971763765,1.19880113577945,-3.57113418553289,0.000355438727503556,0.0399500632674837,"Hint3","DOWN"
"ENSMUSG00000112714","S2_vs_S1",34.2524927742417,7.45561818545089,2.10788266193113,3.53701765288038,0.000404672617109865,0.0419590633079594,NA,"UP"
"ENSMUSG00000091086","S2_vs_S1",91.6937149046129,-2.61481326750668,0.690430871775408,-3.78721950943882,0.000152342506686891,0.0266272938473444,"Rpl6l","DOWN"
"ENSMUSG00000025362","S2_vs_S1",2697.57121419723,-0.900189064535489,0.179978374547938,-5.00165126391736,5.68413426714875e-07,0.00185675321274602,"Rps26","DOWN"
"ENSMUSG00000005054","S2_vs_S1",888.284235236315,0.7731080354521,0.222215099882294,3.47909766645746,0.000503105193770349,0.0475883791440834,"Cstb","UP"
"ENSMUSG00000048240","S2_vs_S1",26.9489995185635,8.39908551849553,2.2934532332069,3.66220047432632,0.000250058046527359,0.0343759572950813,"Gng7","UP"
"ENSMUSG00000074781","S2_vs_S1",310.23971189103,-1.4501558134347,0.349109304915669,-4.15387327984568,3.26894252711847e-05,0.0108095977889985,"Ube2n","DOWN"
"ENSMUSG00000112558","S2_vs_S1",48.0829441721592,6.81699344154972,1.52685557700987,4.46472707975423,8.01708796451956e-06,0.00516258269715246,NA,"UP"
"ENSMUSG00000098101","S2_vs_S1",34.4527672052506,8.36067033673677,2.05644990879177,4.06558423864013,4.79122840223559e-05,0.0127740798870845,NA,"UP"
