,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000026520,8.66514383262758,8.67906491172021,8.65790061812103,8.67448445603769,8.51544999843199,8.51544999843199
ENSMUSG00000026384,9.10800145168719,9.06621810772035,9.12720535250646,9.18256768335622,8.92451854845159,9.31829181192861
ENSMUSG00000103146,8.61381700673763,8.51544999843199,8.65790061812103,8.88812391881404,8.68427599978571,8.71333782584195
ENSMUSG00000036975,8.51544999843199,8.51544999843199,8.51544999843199,8.53304627049137,8.67648778441633,8.8187183929009
ENSMUSG00000026519,8.61024009054462,8.77500498740335,8.77282721082624,8.91045997174951,8.82791157464338,8.868495876197
ENSMUSG00000038776,8.96712123441709,9.18511370249904,9.15821490375535,9.30901401539417,8.80421045328406,9.04505294679478
ENSMUSG00000050777,8.51544999843199,8.64261748764585,8.52881538208616,8.66181251823628,8.51544999843199,8.60572722134489
ENSMUSG00000026516,9.54651825846698,9.5927289750524,9.5397801932713,9.83701003215107,9.61581495412263,9.33329240853809
ENSMUSG00000062169,9.1711155191537,9.3946144946839,9.15821490375535,9.11115296980094,8.89174812243924,9.11407405609878
ENSMUSG00000026103,10.1336343096575,10.0543372514714,10.1132178857767,10.3419714385838,10.517280526085,10.1217492666667
ENSMUSG00000002881,9.69203906375364,9.78214209700481,9.69504275311834,9.79908739056892,9.83337069702653,9.91492271209238
ENSMUSG00000043015,8.89016345417915,8.67906491172021,8.85681423912218,9.0521446312503,8.77984420642857,8.70325099048966
ENSMUSG00000038733,11.0588244896758,10.6693833405889,10.9202317977188,11.0543882423513,10.882759687836,11.0725217951814
ENSMUSG00000003721,9.17562196896157,9.04235871122798,8.7198519527024,8.96477691625455,8.76921617442024,9.0752008783765
ENSMUSG00000104253,8.66514383262758,8.76864343847216,8.51544999843199,8.51544999843199,8.69196255790427,8.51544999843199
ENSMUSG00000054135,8.80372506398867,8.64261748764585,8.52881538208616,8.66181251823628,8.51544999843199,8.51544999843199
ENSMUSG00000041439,9.31704568557684,9.27744962469379,9.48292689128328,9.15002216156215,9.58807539435672,9.37695698329546
ENSMUSG00000100302,8.51544999843199,8.51544999843199,8.51544999843199,8.67030023975849,8.66456631360115,8.68617298445554
ENSMUSG00000026102,8.81383110574271,8.65018921031714,8.96700510985966,8.80933668599065,8.91867539578972,9.00659592827889
ENSMUSG00000041426,8.85775644902338,8.7164823626825,8.77282721082624,8.71482133285137,8.72570835491114,8.7365235360743
ENSMUSG00000026339,9.74216495229925,9.68142088624205,9.28313508322027,9.31081341614561,9.78025733552481,9.66776094687614
ENSMUSG00000001674,9.11458520878574,9.08513489479444,8.84262695686035,8.94116002851676,8.73306731891087,8.92810423400158
ENSMUSG00000036707,10.2917455961216,10.4477626053193,10.1670116955853,10.2676152264903,10.394403394258,10.3690191826015
ENSMUSG00000026223,9.40878115052737,9.34445553539113,9.43328304908667,9.44516389333472,9.02214786091886,9.26530672486055
ENSMUSG00000025939,8.96306230160264,8.8985633313622,9.0264203607345,9.13200962055564,8.80421045328406,9.08772164738218
ENSMUSG00000102457,8.568729201799,8.67906491172021,8.7650292566436,8.72267221319743,8.51544999843199,8.51544999843199
ENSMUSG00000026094,9.36928485025235,9.35031438319397,9.33535880294538,9.0698949123736,9.28128924854035,9.14893476852566
ENSMUSG00000026341,11.2536832560362,11.1403663946225,11.0713835191835,10.9418287823688,11.3685418697398,11.2122208655011
ENSMUSG00000079658,9.05287076357698,8.82142631363939,9.07612486382916,9.17831564081905,8.88869006788773,9.16387115680377
ENSMUSG00000026342,8.98707550298233,9.27744962469379,9.05526183979449,9.15002216156215,9.03471707605811,8.99252025495757
