,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000104170,9.50584348252061,9.45810906472918,9.65341144433657,9.63915777678537,9.51672273537812,9.38623946861661
ENSMUSG00000103085,9.64118749340266,9.80611273028015,9.63897039316378,9.71661875037862,9.52660565103739,9.58107152800827
ENSMUSG00000102664,9.58151265093738,9.88223902996527,9.63099859643393,9.57941074046522,9.57776997337469,9.75467699337541
ENSMUSG00000026496,10.3675513896547,10.3954686843653,10.1432465493961,10.2483454791136,10.2192803849584,10.2355530456029
ENSMUSG00000025935,11.1040372345789,11.0027782263157,10.9951355287618,11.313008940419,11.1271717766844,11.3529554757122
ENSMUSG00000025937,10.2501237079838,10.3331367265354,10.0240430966067,10.3097682640842,10.2774289062528,10.487023821937
ENSMUSG00000026219,12.3657643219383,12.1632427727263,12.2525389547813,12.1937442716586,12.5176099816514,12.1097359465612
ENSMUSG00000103505,9.80428150165886,9.59831730672636,9.5440435225049,9.91217300509724,9.71677504866694,9.5322801865192
ENSMUSG00000104503,9.89126843727967,9.79522363287214,9.78349973973638,9.97563984483066,9.88800514830864,9.66878335152174
ENSMUSG00000026104,9.71091661574177,9.69509463100133,9.70542446861218,9.99745568891135,10.0051536897563,10.1002889297988
ENSMUSG00000099569,9.31950855342524,9.31950855342524,9.51105193521807,9.31950855342524,9.31950855342524,9.60180418368534
ENSMUSG00000060743,10.8916469616825,10.3553000482674,10.6468183596216,10.8925215277598,11.0739852476984,10.8296213439585
ENSMUSG00000073485,9.56828437175961,9.56673359077266,9.5669210779417,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000038806,9.76062597651202,9.98406753920465,9.92261057908947,9.78647939242361,9.78921944177753,9.91150619301476
ENSMUSG00000103979,9.31950855342524,9.50252943895229,9.31950855342524,9.55807292674613,9.31950855342524,9.5363684098046
ENSMUSG00000089976,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.60482204718669,9.31950855342524
ENSMUSG00000101279,9.31950855342524,9.38622134301218,9.31950855342524,9.31950855342524,9.48397686517091,9.58457721680155
ENSMUSG00000025932,10.8733560962942,10.8746453149219,10.5878851125389,11.0125285855435,10.6947763325139,10.4393418063037
ENSMUSG00000026520,9.57420953635846,9.58798880936497,9.53595914781609,9.58356178279085,9.31950855342524,9.31950855342524
ENSMUSG00000082193,9.31950855342524,9.40719343365974,9.40062946555803,9.62366552352523,9.41088772095411,9.38623946861661
ENSMUSG00000026384,10.0178936124576,9.97310630798875,10.0366366301703,10.0667769996698,9.82988261192325,10.2429370700339
ENSMUSG00000103146,9.5231740267112,9.31950855342524,9.5669210779417,9.79462186410625,9.59337197823492,9.62194005406462
ENSMUSG00000036975,9.31950855342524,9.31950855342524,9.31950855342524,9.41273288801651,9.58562453362988,9.7224531427324
ENSMUSG00000026519,9.51951858891922,9.64150592567109,9.68166448862417,9.77990772152918,9.72844033892212,9.73283176340396
ENSMUSG00000038776,9.87398099273628,10.0999989388229,10.0685463678945,10.2309092427226,9.71004313993122,9.95211473737954
ENSMUSG00000050777,9.31950855342524,9.55193337968081,9.38064074088303,9.56887780828481,9.31950855342524,9.51481085354851
ENSMUSG00000026516,10.4645354630388,10.4885580302675,10.4621943767642,10.7564512236745,10.5400105869728,10.2231199069312
ENSMUSG00000062169,10.0819953379924,10.2927796899017,10.0490487625192,10.0050226996394,9.79843051087025,10.0216119529401
ENSMUSG00000026103,11.0299289111302,10.9524690900591,11.006086529141,11.2250508081553,11.4040559938101,11.0558193019293
ENSMUSG00000002881,10.6242313416724,10.7253658757062,10.6219504292547,10.7474425973404,10.777780720688,10.8553971861173
ENSMUSG00000100007,9.55306351852952,9.31950855342524,9.31950855342524,9.3909754724351,9.31950855342524,9.31950855342524
ENSMUSG00000099957,9.31950855342524,9.31950855342524,9.31950855342524,9.63337927419303,9.31950855342524,9.31950855342524
ENSMUSG00000043015,9.79640931800352,9.58798880936497,9.76288693457707,9.957237471829,9.68783070356296,9.61193661682698
ENSMUSG00000103630,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.59337197823492,9.31950855342524
ENSMUSG00000038733,11.8365042945677,11.5233857463565,11.7257580721786,11.8087149161361,11.6923415237935,11.8579911829167
ENSMUSG00000003721,10.0899856360963,9.94162620141366,9.60249972169705,9.87189541595397,9.67740484571879,9.98431837138617
ENSMUSG00000104253,9.57420953635846,9.67651443130439,9.31950855342524,9.31950855342524,9.53590559728413,9.31950855342524
